,SIC,state_of_INC
1555,3081,DE
1556,4832,DE
1557,7389,DE
1558,7389,DE
1559,3080,DE
1560,5961,DE
1561,5961,DE
1562,5961,DE
1563,5961,DE
1564,5961,DE
1565,3690,DE
1566,3690,DE
1567,3845,DE
1568,3845,DE
1569,5812,DE
1570,7371,DE
1571,1311,TX
1572,2840,DE
1573,2320,CO
1574,2320,CO
1575,2320,CO
1576,5940,DE
1577,7997,DE
1578,6794,DE
1579,7372,DE
1580,6552,FL
1581,2253,CA
1582,8741,FL
1583,7389,DE
1584,7389,DE
1585,7374,DE
1586,3572,CA
1587,3312,DE
1588,2522,MI
1589,3931,DE
1590,6022,TX
1591,3827,DE
1592,7350,0
1593,4731,DE
1594,1311,0
1595,2100,DE
1596,6552,DE
1597,5172,DE
1598,8600,DE
1599,2750,IL
1600,3089,DE
1601,3990,DE
1602,3990,DE
1603,6022,WV
1604,0,NY
1605,3571,DE
1606,7340,FL
1607,2390,DE
1608,2834,DE
1609,5150,Z4
1610,3842,DE
1611,1400,DE
1612,1400,DE
1613,5080,DE
1614,2711,DE
1615,2711,DE
1616,2711,DE
1617,2711,DE
1618,3620,OH
1619,3663,DE
1620,2834,DE
1621,2834,DE
1622,4955,WI
1623,7310,DE
1624,3674,CA
1625,5065,NY
1626,8011,DE
1627,2840,0
1628,7372,DE
1629,2890,DE
1630,3845,0
1631,3690,MA
1632,5141,DE
1633,7372,CA
1634,3661,DE
1635,3661,DE
1636,7370,DE
1637,7990,NV
1638,7372,DE
1639,7372,DE
1640,4812,DE
1641,3661,DE
1642,3100,DE
1643,2834,0
1644,4412,L2
1645,4412,L2
1646,3663,DE
1647,7373,NV
1648,7363,NJ
1649,3585,MI
1650,3663,CA
1651,8880,0
1652,4812,D5
1653,3663,DE
1654,4813,DE
1655,4813,DE
1656,4812,A8
1657,4812,DE
1658,3661,DE
1659,8700,UT
1660,8700,UT
1661,8700,UT
1662,3661,DE
1663,6021,CA
1664,7371,DE
